"BE","MRDCL Tables"
"JH","PROJECT WALL E"
"JF"," "
"TB","1"
"VT","PROFILE"
"HT","HEADER A. GENERAL PROFILE"
"BT","ALL RESPONDENTS"
"CH",,,"GENDER",,"LIFESTAGE",,,,,"SEC",,,,
"CL",,"TOTAL (a)","MALE (b)","FEMALE (c)","Students (20 yo and below) (d)","Yuppies (21-30 yo) (e)","Transitioners (31-35 yo) (f)","Balancers (36-45 yo) (g)","Older Adults/Retirees (46-65 yo) (h)","AB (i)","C1 (j)","ABC1 (k)","C2 (l)","D (m)"
"RT","Total",600,304,296,133,179,64,113,110,15,21,36,185,379
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",600,300,300,125,181,66,120,108,29,32,61,207,332
"RH","REGION"
"BL"
"RW","     Metro Manila",93,47,46,26,23,6,20,18,7,6,13,42,39
"PV",,15.5390%,15.4002%,15.6813%,19.2679%,12.8787%,9.3597%,17.6930%,16.7631%,45.1222%,28.1979%,35.3341%,22.4548%,10.2714%
"MK",," M"," "," M"," M"," "," "," M"," "," "," EFM"," AABCADEFGHALM"," AABAEFAM"," "
"BL"
"RW","     North-Central Luzon",117,54,63,31,40,10,12,24,1,0,1,39,76
"PV",,19.4920%,17.7082%,21.3224%,23.1327%,22.4738%,16.2463%,10.2803%,21.6009%,4.9133%,2.3881%,3.4528%,21.2010%,20.1874%
"MK",," GJK"," JK"," GJK"," GJK"," GJK"," K"," "," GJK"," "," "," "," GJK"," GJK"
"BL"
"RW","     South Luzon",173,82,91,36,72,13,23,28,4,9,13,53,106
"PV",,28.7798%,26.9382%,30.6695%,27.0090%,40.3640%,20.6352%,20.2404%,25.5710%,26.2697%,41.9682%,35.3488%,28.8820%,28.1031%
"MK",," "," "," G"," "," AABCADFGHALM"," "," "," "," "," FG"," G"," "," "
"BL"
"RW","     Visayas",78,41,37,16,16,7,19,21,2,3,5,17,56
"PV",,13.0700%,13.6163%,12.5094%,12.0663%,8.6715%,10.6865%,16.3677%,19.4559%,10.3777%,15.3093%,13.2298%,9.4298%,14.8332%
"MK",," "," "," "," "," "," "," E"," EL"," "," "," "," "," E"
"BL"
"RW","     Mindanao",139,80,59,25,28,28,40,18,2,3,5,33,101
"PV",,23.1193%,26.3371%,19.8175%,18.5241%,15.6120%,43.0723%,35.4186%,16.6092%,13.3172%,12.1366%,12.6344%,18.0324%,26.6049%
"MK",," E"," EHKL"," "," "," "," AABCADEHAJKLM"," AACADEHAJKL"," "," "," "," "," "," CEHKL"
"RH","LOCALE"
"BL"
"RW","     Rural",289,151,138,62,82,26,57,61,0,8,8,66,215
"PV",,48.1463%,49.7940%,46.4556%,46.4664%,45.7609%,41.0497%,50.4814%,55.8098%,0.0000%,37.5465%,21.7147%,35.5046%,56.8444%
"MK",," KL"," KL"," KL"," KL"," KL"," K"," KL"," KL"," "," "," "," K"," AACADEFAJKL"
"BL"
"RW","     Urban",311,153,159,71,97,38,56,49,15,13,28,119,163
"PV",,51.8537%,50.2060%,53.5444%,53.5336%,54.2391%,58.9503%,49.5186%,44.1902%,100.0000%,62.4535%,78.2853%,64.4954%,43.1556%
"MK",," M"," "," M"," M"," M"," M"," "," "," "," M"," AABCADEFGHALM"," AABCADEGHAM"," "
"RH","SEC"
"BL"
"RW","     AB",15,9,6,4,5,0,4,3,15,0,15,0,0
"PV",,2.5401%,2.8896%,2.1814%,2.8323%,2.5434%,0.6152%,3.4407%,2.3791%,100.0000%,0.0000%,42.1657%,0.0000%,0.0000%
"MK",," LM"," LM"," LM"," LM"," LM"," "," LM"," LM"," "," "," AABCADEFGHAJLM"," "," "
"BL"
"RW","     C1",21,11,9,2,5,2,4,8,0,21,21,0,0
"PV",,3.4840%,3.7784%,3.1818%,1.6030%,2.8155%,2.7379%,3.6965%,7.0649%,0.0000%,100.0000%,57.8343%,0.0000%,0.0000%
"MK",," LM"," LM"," LM"," M"," LM"," LM"," LM"," DLM"," "," AABCADEFGHAKLM"," AABCADEFGHALM"," "," "
"BL"
"RW","     ABC1",36,20,16,6,10,2,8,10,15,21,36,0,0
"PV",,6.0240%,6.6680%,5.3632%,4.4353%,5.3589%,3.3531%,7.1372%,9.4440%,100.0000%,100.0000%,100.0000%,0.0000%,0.0000%
"MK",," LM"," LM"," LM"," LM"," LM"," LM"," LM"," LM"," "," AABCADEFGHALM"," AABCADEFGHALM"," "," "
"BL"
"RW","     C2",185,95,90,44,60,19,29,33,0,0,0,185,0
"PV",,30.8434%,31.1505%,30.5283%,33.0495%,33.5328%,29.6804%,25.6717%,29.7906%,0.0000%,0.0000%,0.0000%,100.0000%,0.0000%
"MK",," JKM"," JKM"," JKM"," JKM"," JKM"," JKM"," JKM"," JKM"," "," "," "," AABCADEFGHAJKM"," "
"BL"
"RW","     D",379,189,190,83,110,43,76,67,0,0,0,0,379
"PV",,63.1326%,62.1815%,64.1085%,62.5152%,61.1082%,66.9665%,67.1911%,60.7654%,0.0000%,0.0000%,0.0000%,0.0000%,100.0000%
"MK",," JKL"," JKL"," JKL"," JKL"," JKL"," JKL"," JKL"," JKL"," "," "," "," "," AABCADEFGHAJKL"
"RH","LIFESTAGE"
"BL"
"RW","     13-20 years old (YOUTH)",133,86,47,133,0,0,0,0,4,2,6,44,83
"PV",,22.1699%,28.2608%,15.9200%,100.0000%,0.0000%,0.0000%,0.0000%,0.0000%,24.7205%,10.2006%,16.3230%,23.7556%,21.9531%
