"BE","MRDCL Tables"
"JH","PROJECT WALL E"
"JF"," "
"TB","1"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - BDO Mobile/Online"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - BDO Mobile/Online"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",148,76,72
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",32,18,14
"PV",,21.6216%,23.6842%,19.4444%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",25,15,10
"PV",,16.8919%,19.7368%,13.8889%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",38,18,20
"PV",,25.6757%,23.6842%,27.7778%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",33,19,14
"PV",,22.2973%,25.0000%,19.4444%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",27,14,13
"PV",,18.2432%,18.4211%,18.0556%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",25,13,12
"PV",,16.8919%,17.1053%,16.6667%
"MK",," "," "," "
"BL"
"RW","Brand for me",28,10,18
"PV",,18.9189%,13.1579%,25.0000%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",37,15,22
"PV",,25.0000%,19.7368%,30.5556%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",36,16,20
"PV",,24.3243%,21.0526%,27.7778%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",38,18,20
"PV",,25.6757%,23.6842%,27.7778%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",26,10,16
"PV",,17.5676%,13.1579%,22.2222%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",38,17,21
"PV",,25.6757%,22.3684%,29.1667%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",26,12,14
"PV",,17.5676%,15.7895%,19.4444%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",29,15,14
"PV",,19.5946%,19.7368%,19.4444%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",39,17,22
"PV",,26.3514%,22.3684%,30.5556%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",32,15,17
"PV",,21.6216%,19.7368%,23.6111%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",27,12,15
"PV",,18.2432%,15.7895%,20.8333%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",25,10,15
"PV",,16.8919%,13.1579%,20.8333%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",38,20,18
"PV",,25.6757%,26.3158%,25.0000%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",25,13,12
"PV",,16.8919%,17.1053%,16.6667%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",32,15,17
"PV",,21.6216%,19.7368%,23.6111%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",31,14,17
"PV",,20.9459%,18.4211%,23.6111%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",28,11,17
"PV",,18.9189%,14.4737%,23.6111%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",40,17,23
"PV",,27.0270%,22.3684%,31.9444%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",35,17,18
"PV",,23.6486%,22.3684%,25.0000%
"MK",," "," "," "
"BL"
"RW","Not Associated",73,40,33
"PV",,49.3243%,52.6316%,45.8333%
"MK",," "," "," "
"BL"
"RW","Total Count",863,411,452
"PV",,583.1081%,540.7895%,627.7778%
"MK",," "," "," "
"TE"
"TB","2"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - BPI Mobile/Online"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - BPI Mobile/Online"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",104,56,48
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",21,12,9
"PV",,20.1923%,21.4286%,18.7500%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",14,9,5
"PV",,13.4615%,16.0714%,10.4167%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",28,14,14
"PV",,26.9231%,25.0000%,29.1667%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",23,13,10
"PV",,22.1154%,23.2143%,20.8333%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",17,11,6
"PV",,16.3462%,19.6429%,12.5000%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",14,11,3
"PV",,13.4615%,19.6429%,6.2500%
"MK",," "," C"," "
"BL"
"RW","Brand for me",17,9,8
"PV",,16.3462%,16.0714%,16.6667%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",19,9,10
"PV",,18.2692%,16.0714%,20.8333%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",19,8,11
"PV",,18.2692%,14.2857%,22.9167%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",23,10,13
"PV",,22.1154%,17.8571%,27.0833%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",13,8,5
"PV",,12.5000%,14.2857%,10.4167%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",24,12,12
"PV",,23.0769%,21.4286%,25.0000%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",17,10,7
"PV",,16.3462%,17.8571%,14.5833%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",17,10,7
"PV",,16.3462%,17.8571%,14.5833%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",20,10,10
"PV",,19.2308%,17.8571%,20.8333%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",24,10,14
"PV",,23.0769%,17.8571%,29.1667%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",21,12,9
"PV",,20.1923%,21.4286%,18.7500%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",14,8,6
"PV",,13.4615%,14.2857%,12.5000%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",22,13,9
