"BE","MRDCL Tables"
"JH","PROJECT WALL E"
"JF"," "
"TB","1"
"VT","QL1. AWARENESS - LOANS"
"HT","HEADER A. GENERAL PROFILE"
"BT","ALL RESPONDENTS"
"CH",,,"GENDER",,"LIFESTAGE",,,,"SEC",,,,
"CL",,"TOTAL (a)","MALE (b)","FEMALE (c)","Yuppies (21-30 yo) (e)","Transitioners (31-35 yo) (f)","Balancers (36-45 yo) (g)","Older Adults/Retirees (46-65 yo) (h)","AB (i)","C1 (j)","ABC1 (k)","C2 (l)","D (m)"
"RT","Total",682,313,369,247,93,160,182,30,37,67,233,378
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"BL"
"RW","FROM BANKS (NET)",192,91,101,59,29,55,49,15,14,29,74,88
"PV",,28.1525%,29.0735%,27.3713%,23.8866%,31.1828%,34.3750%,26.9231%,50.0000%,37.8378%,43.2836%,31.7597%,23.2804%
"MK",," "," "," "," "," "," EM"," "," AABCAEHALM"," M"," AABCAEHAM"," M"," "
"BL"
"RW","     Housing Loan / Mortgage with bank",79,39,40,18,13,26,22,9,5,14,35,30
"PV",,11.5836%,12.4601%,10.8401%,7.2874%,13.9785%,16.2500%,12.0879%,30.0000%,13.5135%,20.8955%,15.0215%,7.9365%
"MK",," "," EM"," "," "," "," EM"," "," AABCAEFHALM"," "," AACAEAM"," EM"," "
"BL"
"RW","     Auto Loan / Car Loan with bank",66,35,31,14,10,22,20,8,5,13,32,21
"PV",,9.6774%,11.1821%,8.4011%,5.6680%,10.7527%,13.7500%,10.9890%,26.6667%,13.5135%,19.4030%,13.7339%,5.5556%
"MK",," M"," EM"," "," "," "," EM"," EM"," AABCAEFHAM"," "," AACAEAM"," CEM"," "
"BL"
"RW","     Business Loan with bank",53,26,27,13,6,14,20,6,3,9,25,19
"PV",,7.7713%,8.3067%,7.3171%,5.2632%,6.4516%,8.7500%,10.9890%,20.0000%,8.1081%,13.4328%,10.7296%,5.0265%
"MK",," "," "," "," "," "," "," EM"," AABCAEFAM"," "," EM"," EM"," "
"BL"
"RW","     MicroBusiness/SME Loan with bank",50,20,30,9,7,16,18,5,3,8,20,22
"PV",,7.3314%,6.3898%,8.1301%,3.6437%,7.5269%,10.0000%,9.8901%,16.6667%,8.1081%,11.9403%,8.5837%,5.8201%
"MK",," E"," "," E"," "," "," E"," E"," BEM"," "," E"," E"," "
"BL"
"RW","     Loan with bank",79,39,40,21,13,19,26,6,7,13,34,31
"PV",,11.5836%,12.4601%,10.8401%,8.5020%,13.9785%,11.8750%,14.2857%,20.0000%,18.9189%,19.4030%,14.5923%,8.2011%
"MK",," "," "," "," "," "," "," M"," EM"," EM"," CEM"," EM"," "
"BL"
"RW","     Personal Loan with bank",67,35,32,13,12,21,21,10,7,17,29,20
"PV",,9.8240%,11.1821%,8.6721%,5.2632%,12.9032%,13.1250%,11.5385%,33.3333%,18.9189%,25.3731%,12.4464%,5.2910%
"MK",," EM"," EM"," "," "," EM"," EM"," EM"," AABCAEFGHALM"," CEM"," AABCAEFGHALM"," EM"," "
"BL"
"RW","     Salary Loan with bank",95,44,51,26,17,22,30,7,9,16,39,40
"PV",,13.9296%,14.0575%,13.8211%,10.5263%,18.2796%,13.7500%,16.4835%,23.3333%,24.3243%,23.8806%,16.7382%,10.5820%
"MK",," "," "," "," "," M"," "," M"," EM"," EM"," AABCAEAM"," EM"," "
"BL"
"RW","     Credit card",110,53,57,32,17,29,32,9,6,15,47,47
"PV",,16.1290%,16.9329%,15.4472%,12.9555%,18.2796%,18.1250%,17.5824%,30.0000%,16.2162%,22.3881%,20.1717%,12.4339%
"MK",," "," "," "," "," "," "," "," AACAEAM"," "," M"," EM"," "
"BL"
"RW","FROM NON-BANK SOURCES (NET)",408,181,227,147,56,101,104,16,19,35,138,231
"PV",,59.8240%,57.8275%,61.5176%,59.5142%,60.2151%,63.1250%,57.1429%,53.3333%,51.3514%,52.2388%,59.2275%,61.1111%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Loan with Cooperative",120,58,62,30,11,35,44,8,7,15,41,63
"PV",,17.5953%,18.5304%,16.8022%,12.1457%,11.8280%,21.8750%,24.1758%,26.6667%,18.9189%,22.3881%,17.5966%,16.6667%
"MK",," E"," E"," "," "," "," EF"," AACAEFAM"," E"," "," E"," "," "
"BL"
"RW","     Loan with Non-Stock Savings and Loan Association",33,16,17,6,6,10,11,2,3,5,18,10
"PV",,4.8387%,5.1118%,4.6070%,2.4291%,6.4516%,6.2500%,6.0440%,6.6667%,8.1081%,7.4627%,7.7253%,2.6455%
"MK",," "," "," "," "," "," M"," M"," "," "," EM"," EM"," "
"BL"
"RW","     Loan with Microfinance NGO",118,48,70,33,14,35,36,6,5,11,44,63
"PV",,17.3021%,15.3355%,18.9702%,13.3603%,15.0538%,21.8750%,19.7802%,20.0000%,13.5135%,16.4179%,18.8841%,16.6667%
"MK",," "," "," "," "," "," E"," "," "," "," "," "," "
"BL"
"RW","     Loan with Gov't agencies (i.e. GSIS, SSS, Pag-ibig)",158,74,84,53,18,38,49,10,9,19,56,81
"PV",,23.1672%,23.6422%,22.7642%,21.4575%,19.3548%,23.7500%,26.9231%,33.3333%,24.3243%,28.3582%,24.0343%,21.4286%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     Loan from pawnshop/ pawning",75,33,42,17,13,20,25,6,4,10,30,34
"PV",,10.9971%,10.5431%,11.3821%,6.8826%,13.9785%,12.5000%,13.7363%,20.0000%,10.8108%,14.9254%,12.8755%,8.9947%
"MK",," "," "," "," "," E"," "," E"," E"," "," E"," E"," "
"BL"
"RW","     Loan with lending institutions/Financing companies (e.g. Home Credit, etc) (SUBNET)",183,82,101,66,32,50,35,10,8,18,78,86
"PV",,26.8328%,26.1981%,27.3713%,26.7206%,34.4086%,31.2500%,19.2308%,33.3333%,21.6216%,26.8657%,33.4764%,22.7513%
"MK",," H"," "," H"," "," HM"," HM"," "," "," "," "," HM"," "
"BL"
"RW","          Loan via Home Credit",153,69,84,52,27,45,29,9,5,14,67,71
"PV",,22.4340%,22.0447%,22.7642%,21.0526%,29.0323%,28.1250%,15.9341%,30.0000%,13.5135%,20.8955%,28.7554%,18.7831%
"MK",," "," "," "," "," HM"," HM"," "," "," "," "," HM"," "
"BL"
"RW","          Online Loans",75,29,46,31,13,17,14,4,4,8,40,27
"PV",,10.9971%,9.2652%,12.4661%,12.5506%,13.9785%,10.6250%,7.6923%,13.3333%,10.8108%,11.9403%,17.1674%,7.1429%
"MK",," M"," "," M"," M"," M"," "," "," "," "," "," AABAHAM"," "
"BL"
"RW","          Loans from e-wallet/mobile money/mobile bank/ e-remittance / any financial apps or websites",57,28,29,21,9,16,11,5,4,9,27,20
"PV",,8.3578%,8.9457%,7.8591%,8.5020%,9.6774%,10.0000%,6.0440%,16.6667%,10.8108%,13.4328%,11.5880%,5.2910%
"MK",," "," "," "," "," "," M"," "," HM"," "," M"," M"," "
"BL"
"RW","     Multi-Purpose Loans from private companies (SUBNET)",70,33,37,18,11,20,21,8,6,14,34,22
"PV",,10.2639%,10.5431%,10.0271%,7.2874%,11.8280%,12.5000%,11.5385%,26.6667%,16.2162%,20.8955%,14.5923%,5.8201%
"MK",," M"," M"," M"," "," M"," M"," M"," AABCAEGHAM"," M"," AABCAEAM"," EM"," "
"BL"
"RW","          Car Loan with Dealership's Financing Service",54,28,26,11,9,15,19,6,4,10,28,16
"PV",,7.9179%,8.9457%,7.0461%,4.4534%,9.6774%,9.3750%,10.4396%,20.0000%,10.8108%,14.9254%,12.0172%,4.2328%
"MK",," M"," EM"," "," "," M"," EM"," EM"," AACAEAM"," "," CEM"," CEM"," "
"BL"
