RESP,WTS
34837497,0.3884
34841524,2.3441
34841525,2.3441
34852318,1.8804
34852533,1.1089
34852535,2.1879
34858945,0.5502
34859747,1.079
34859748,1.2032
34871917,1.6472
34871918,0.9516
34871919,0.9516
34873758,1.079
34873761,1.2032
34873815,1.6472
34873947,1.1089
34873948,2.1879
34878932,2.3441
34884121,0.3774
34884420,0.3884
34884422,0.6739
34884451,0.3884
34886729,1.3389
34886730,0.9516
34886731,1.6472
34886732,1.8651
34887870,0.3884
34888595,2.1879
34889888,1.3902
34889890,1.3902
34889892,1.3902
34890951,0.6829
34891951,1.1031
34891952,1.1089
34892000,0.3884
34892001,0.6739
34892002,0.6739
34892003,0.3884
34895131,1.2928
34899486,1.3902
34899487,1.3762
34900283,1.1031
34901987,0.5042
34901988,0.5066
34901989,0.5066
34901990,0.5066
34903357,0.7025
34903358,0.5066
34903359,0.7025
34903977,2.3441
34903978,2.3441
34904279,0.6683
34904281,1.2032
34906195,1.6472
34907271,1.2928
34909432,0.5042
34909434,0.5066
34909435,0.7025
34909436,0.5042
34910569,0.4806
34913535,1.3762
34915026,1.8804
34917646,0.6683
34917649,1.8529
34918375,0.5042
34918376,1.3864
34918378,1.3864
34918379,1.3864
34918853,0.5042
34918854,1.0611
34918856,1.3864
34919408,2.1879
34919413,2.3441
34919839,1.3762
34920227,1.8529
34920228,1.079
34920229,1.8529
34920230,0.6683
34923243,0.6829
34923244,0.1257
34923247,1.3762
34923250,1.8804
34925188,0.7025
34925189,0.5042
34925191,0.5066
34925192,0.7025
34925684,1.1031
34925686,1.2928
34925689,0.9241
34925916,0.5039
34925994,1.0611
34925996,1.3864
34926199,1.3864
34926200,1.0611
34927642,1.3902
34927643,0.1292
34929353,1.8804
34929354,1.8804
34929366,0.9516
34929368,1.3389
34929806,2.3441
34930075,0.6829
34930076,0.1676
34930887,1.8804
34931294,1.1668
34931296,1.079
34931744,1.3864
34931745,1.076
34931746,1.0611
34931747,0.5502
34931915,0.3884
34932042,1.3864
34932043,1.3864
34932044,1.076
34932045,1.3864
34932046,1.3864
34932251,0.5066
34932253,0.5042
34932254,0.5042
34932255,0.5042
34933358,1.2032
34933359,1.2032
34933361,1.8529
34935265,1.3902
34939984,0.3884
34939985,0.3884
34939986,0.6739
34939987,0.6739
34939988,0.5502
34939989,0.3884
34943390,1.076
34943391,1.3864
34943392,1.076
34943393,1.3864
34943394,1.3864
34943395,1.076
34943618,1.3902
34944095,1.076
34944096,0.5502
34944126,0.5502
34944127,1.076
34944128,1.076
34944129,1.076
34944130,0.5042
34945654,0.5039
34945655,1.3902
34945656,1.3902
34945657,1.3902
34946367,1.3389
34946368,1.3389
34946370,0.9516
34946372,0.9516
34946373,1.3389
34947295,1.8804
34947296,1.8804
34947297,1.8804
34949111,1.0611
34949112,1.3864
34949113,1.0611
34949114,1.3864
34949115,1.076
34949173,1.3864
34949174,1.3864
34949175,0.5502
34950791,0.2739
34950793,0.2739
34951581,0.7025
34951582,0.5042
34952082,1.3659
34952542,1.8804
34959350,1.8804
34960226,1.2032
34960328,1.3902
34960329,1.3902
34962350,0.4806
34962351,0.4806
34962352,0.6829
34964296,0.4806
34965400,1.8804
34965408,1.3762
34966899,0.3884
34966900,0.5502
34966901,0.3884
34966902,0.3884
34966903,1.3902
34968732,1.3864
34969487,1.079
34970651,1.3902
34970652,0.1292
34970653,1.3902
34977423,1.8529
34977424,1.1668
34977426,0.5347
34978650,0.9241
34983381,1.3659
34983382,0.6829
34985581,1.8804
34985762,1.8529
34985936,0.3884
34986509,0.9241
34986511,1.2928
34988207,0.1257
34988913,2.1879
34989314,1.2032
34989315,1.2032
34989316,1.1668
34989317,1.1668
34989687,2.1879
34989688,0.9241
34989894,0.3884
34993118,2.3441
34993119,2.1879
34993120,1.1031
34993466,0.5042
34993468,7.6775
34994236,1.2032
35001435,0.5502
35001436,0.6739
35001437,0.5502
35001760,1.8804
35001761,1.8804
35001763,0.2739
35003230,0.5042
35003233,0.3884
35003236,0.6739
35004319,2.3441
35004636,1.8804
35005027,0.5502
35005028,0.3884
35005029,0.3884
35005030,0.3884
35005031,0.3884
35005157,0.9241
35005158,1.1031
35005159,2.1879
35005210,1.1031
35005597,1.6472
35005599,1.6472
35005600,0.9516
35005601,0.9516
35005605,1.6472
35005913,1.2032
35006035,2.1879
35009737,2.1879
35009738,1.1089
35012564,0.5042
35012586,1.079
35012587,1.1668
35012830,0.3884
35012832,0.3884
35012833,0.5502
35016883,0.9516
35016886,1.6472
35016887,1.6472
35018346,2.1879
35018643,1.6472
35018645,1.8651
35018647,0.9516
35020452,2.1879
35020653,1.8804
35020655,1.8804
35020656,1.8804
35021383,0.1676
35021550,1.6472
35021552,1.6472
35022508,0.9241
35026220,0.5042
35026253,0.5042
35029429,1.6472
35029430,1.6472
35034799,1.2032
35036869,1.6472
35036870,1.6472
35036871,1.3389
35037905,0.5347
35039149,1.6472
35039852,1.8651
35044088,1.1031
35045380,0.3884
35051197,0.5042
35056385,0.3884
35057138,0.5042
35059628,2.1879
35066431,1.8651
35067154,1.8804
35080236,0.5042
35084980,0.5042
35092566,1.8804
35108645,1.0611
35112003,1.3864
35124825,1.3762
35124826,0.4806
35124827,0.4806
35154722,1.076
35154724,1.076
35160340,0.2739
35160341,0.2739
35160365,0.1292
35160366,1.3902
35160367,0.1292
35160368,0.3774
35160369,0.3774
35160370,0.1292
35165633,0.5042
35166748,1.8529
35166749,1.079
35166750,1.079
35166752,0.5347
35170061,0.6739
35170062,0.5502
35170063,0.5502
35173601,1.3389
35173602,0.9516
35173603,1.6472
35173604,1.3389
35174015,0.5502
35179601,0.3884
35179602,0.3884
35179603,0.6739
35179604,0.5502
35180686,0.4806
35185433,1.3762
35187012,1.1668
35187013,1.079
35187014,1.8529
35187015,1.079
35191349,0.6829
35193727,1.3389
35193979,0.5347
35193980,1.8529
35193981,1.1668
35193982,1.079
35194783,0.5502
35194785,0.6739
35194786,0.3884
35205396,1.076
35210472,1.079
35210473,1.2032
35210475,1.1668
35213235,1.8804
35213236,0.2739
35213237,1.8804
35213238,0.2739
35213239,0.2739
35213675,0.1292
35213677,1.3902
35213678,0.3774
35213679,0.3774
35214374,1.3762
35217434,0.5502
35218818,0.6829
35219864,1.079
35219865,1.079
35219866,1.079
35220629,0.9516
35220631,1.8651
35220984,0.7025
35222069,0.5502
35222070,0.3884
35224485,0.6829
35224486,1.3762
35224950,0.4806
35229757,0.7025
35229758,0.5066
35229759,0.5042
35229760,0.5042
35230030,0.2739
35230532,1.8804
35230533,0.2739
35230534,0.2739
35230630,0.4806
35230981,0.7025
35232377,0.2739
35233186,0.1292
35233189,0.3774
35233190,0.1292
35233191,0.3774
35233192,0.3774
35233193,0.1292
35233357,0.4806
35233360,0.1676
35234018,0.4806
35234237,0.5039
35234238,0.3774
35234379,0.7025
35236528,0.3774
35236529,0.1292
35238468,1.3902
35239530,0.5066
35239531,0.7025
35240816,1.3389
35240818,1.3389
35240819,1.6472
35240820,0.9516
35243605,1.076
35243606,1.076
35243607,0.5502
35243608,0.5502
35243609,1.076
35245124,1.3762
35245125,0.1257
35245169,0.9516
35246285,0.2739
35246503,0.2739
35246504,0.2739
35246505,0.2739
35246506,0.2739
35246507,0.2739
35247671,0.4806
35253025,1.3864
35253026,1.076
35253027,1.076
35253028,1.076
35253029,0.5502
35253030,1.076
35253822,0.4806
35256076,0.7025
35256077,0.7025
35256078,0.5042
35256079,7.6775
35256080,0.7025
35257027,1.3762
35257028,1.3659
35257921,0.1292
35257975,0.2739
35260695,0.2739
35261211,0.5039
35261212,1.3902
35262177,0.2739
35262178,0.2739
35268210,0.5039
35268212,0.3774
35268214,0.1292
35268215,0.3774
35268809,0.6829
35268810,0.4806
35269011,0.7025
35269012,0.7025
35270881,0.3884
35270882,0.5502
35270883,0.3884
35272632,0.1257
35275642,1.8804
35275643,0.2739
35280180,0.6829
35280181,0.6829
35280209,0.3774
35284713,0.5042
35288137,1.3902
35289857,0.2739
35289858,0.2739
35292200,1.079
35296299,0.2739
35296300,0.2739
35296301,0.2739
35296302,0.2739
35296303,0.2739
35297108,0.2739
35299314,0.7025
35301774,0.5042
35303414,0.2739
35307278,0.6829
35314808,1.079
35316692,0.1292
35321311,0.5347
35321313,1.8529
35321314,1.1668
35321316,1.8529
35321559,0.2739
35322072,0.3884
35322073,0.3884
35342043,0.3884
35342044,0.5502
35344596,1.1031
35344597,1.1031
