"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","1"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",257,257,0,257
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",301,301,0,301
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",226,226,0,226
"PV",,88.0764%,88.0764%,0.0000%,88.0764%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",229,229,0,229
"PV",,89.1145%,89.1145%,0.0000%,89.1145%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",206,206,0,206
"PV",,80.2822%,80.2822%,0.0000%,80.2822%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",222,222,0,222
"PV",,86.4644%,86.4644%,0.0000%,86.4644%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",245,245,0,245
"PV",,95.3670%,95.3670%,0.0000%,95.3670%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",226,226,0,226
"PV",,87.8638%,87.8638%,0.0000%,87.8638%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",243,243,0,243
"PV",,94.5584%,94.5584%,0.0000%,94.5584%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",217,217,0,217
"PV",,84.4528%,84.4528%,0.0000%,84.4528%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",207,207,0,207
"PV",,80.4910%,80.4910%,0.0000%,80.4910%
"MK",," "," "," "," "
"BL"
