"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","1"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",257,257,0,257
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",301,301,0,301
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",257,257,0,257
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",134,134,0,134
"PV",,52.1735%,52.1735%,0.0000%,52.1735%
"MK",," "," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%Total Region%Total Usership",123,123,0,123
"PV",,47.8265%,47.8265%,0.0000%,47.8265%
"MK",," "," "," "," "
"TE"
"TB","2"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",228,228,0,228
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",279,279,0,279
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%Total Region%User",228,228,0,228
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%Total Region%User",120,120,0,120
"PV",,52.4027%,52.4027%,0.0000%,52.4027%
"MK",," "," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%Total Region%User",109,109,0,109
"PV",,47.5973%,47.5973%,0.0000%,47.5973%
"MK",," "," "," "," "
"TE"
"TB","3"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",29,29,0,29
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",22,22,0,22
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%Total Region%Non-user",29,29,0,29
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%Total Region%Non-user",14,14,0,14
"PV",,50.3568%,50.3568%,0.0000%,50.3568%
"MK",," "," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%Total Region%Non-user",14,14,0,14
"PV",,49.6432%,49.6432%,0.0000%,49.6432%
"MK",," "," "," "," "
"TE"
"TB","4"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",57,57,0,57
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",32,32,0,32
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%MMA%Total Usership",57,57,0,57
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%MMA%Total Usership",26,26,0,26
"PV",,46.2581%,46.2581%,0.0000%,46.2581%
"MK",," "," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%MMA%Total Usership",31,31,0,31
"PV",,53.7419%,53.7419%,0.0000%,53.7419%
"MK",," "," "," "," "
"TE"
"TB","5"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",55,55,0,55
